data.mel-adem-53-seriennummer,data.regenerations-cmd-code,data.regenerations-code
202253MD1784-2,,TEST01-MD-Test01
1353MD1010-1,,7F95C1-MD-E85519
201853MD1196-2,,621C46-MD-E8EEEB
202253MD1075-3,,82B871-MD-E87463
210553MD1126-1,,C37496-MD-E8A1FB
202453MD1309-1,,4AD625-MD-E84E8E
202053MD1352-2,,D494A9-MD-E86FA1
1053MD1072-2,,C3A625-MD-E8416D
1153MD1071-2,,BEED21-MD-E809AB
202053MD1112-2,,0D5E0B-MD-D877BC
201553MD1524-2,,80A625-MD-E8A461
1353MD1009-1,,9DC5A9-MD-E83EE6
202353MD1737-2,,6AA4A9-MD-E806B0
202253MD1556-2,,90A625-MD-E89CE5
202353MD1338-2,,7235A9-MD-E8E0A6
202453MD1619-1,,5175A9-MD-E8B986
201853MD1503-1,,3FD4A9-MD-E8FD41
202553MD1155-2,,A925A9-MD-E8A7A3
201853MD1560-2,,7CC625-MD-E8A02D
201653MD1424-1,,7CF625-MD-E83247
201953MD1079-2,,C5DFA1-MD-E8931E
1453MD1390-2,,419625-MD-E8C97D
201953CMD1056-2,2982E1-MC-E87873,
202053MD1699-2,,B5EC46-MD-E846DB
201653CMD1073-2,D3F80B-MC-E8D2FD,D3F80B-MC-E8D2FD
201753CMD1015-1,31380B-MC-E816CE, 31380B-MC-E816C
